Nationality,Education,Locality,Geographic_Area,Sex,0 years to 14 years,0-4,9-May,14-Oct,15 years to 64 years,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 years and older,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Ghanaian by naturalisation,Middle,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Middle,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Middle,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Middle,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,SSS/SHS,Rural,Savelugu Municipal,Male,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,SSS/SHS,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,SSS/SHS,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,SSS/SHS,Urban,Savelugu Municipal,Female,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Secondary,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Secondary,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Secondary,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Secondary,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Voc/technical/commercial,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Voc/technical/commercial,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Voc/technical/commercial,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Voc/technical/commercial,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Post middle/secondary Certificate,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Post middle/secondary Certificate,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Post middle/secondary Certificate,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Post middle/secondary Certificate,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Post middle/secondary Diploma,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Post middle/secondary Diploma,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Post middle/secondary Diploma,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Post middle/secondary Diploma,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary/HND,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary/HND,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary/HND,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary/HND,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Bachelor's Degree,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Bachelor's Degree,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Bachelor's Degree,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Bachelor's Degree,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Post graduate Certificate/Diploma,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Post graduate Certificate/Diploma,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Post graduate Certificate/Diploma,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Post graduate Certificate/Diploma,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Master's Degree,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Master's Degree,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Master's Degree,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - Master's Degree,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - PhD,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - PhD,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - PhD,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Tertiary - PhD,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Other (specify),Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Other (specify),Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Other (specify),Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghanaian by naturalisation,Other (specify),Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Never attended,Rural,Savelugu Municipal,Male,59,24,18,17,148,14,23,23,17,17,21,11,9,8,5,18,6,3,5,0,4,0,0,0
Outside Ghana,Never attended,Rural,Savelugu Municipal,Female,62,24,26,12,190,19,46,41,24,18,15,8,8,5,6,26,3,7,7,5,2,2,0,0
Outside Ghana,Never attended,Urban,Savelugu Municipal,Male,4,2,1,1,40,4,11,6,6,2,6,3,0,1,1,1,0,1,0,0,0,0,0,0
Outside Ghana,Never attended,Urban,Savelugu Municipal,Female,6,3,2,1,13,1,4,2,1,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0
Outside Ghana,Nursery,Rural,Savelugu Municipal,Male,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Nursery,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Nursery,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Nursery,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Kindergarten,Rural,Savelugu Municipal,Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Kindergarten,Rural,Savelugu Municipal,Female,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Kindergarten,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Kindergarten,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Primary,Rural,Savelugu Municipal,Male,7,0,3,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Primary,Rural,Savelugu Municipal,Female,3,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Primary,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Primary,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,JSS/JHS,Rural,Savelugu Municipal,Male,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,JSS/JHS,Rural,Savelugu Municipal,Female,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,JSS/JHS,Urban,Savelugu Municipal,Male,0,0,0,0,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,JSS/JHS,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Middle,Rural,Savelugu Municipal,Male,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Middle,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Middle,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Middle,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,SSS/SHS,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,SSS/SHS,Rural,Savelugu Municipal,Female,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,SSS/SHS,Urban,Savelugu Municipal,Male,0,0,0,0,13,0,7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,SSS/SHS,Urban,Savelugu Municipal,Female,0,0,0,0,5,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Secondary,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Secondary,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Secondary,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Secondary,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Voc/technical/commercial,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Voc/technical/commercial,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Voc/technical/commercial,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Voc/technical/commercial,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Post middle/secondary Certificate,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Post middle/secondary Certificate,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Post middle/secondary Certificate,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Post middle/secondary Certificate,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Post middle/secondary Diploma,Rural,Savelugu Municipal,Male,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Post middle/secondary Diploma,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Post middle/secondary Diploma,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Post middle/secondary Diploma,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary/HND,Rural,Savelugu Municipal,Male,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary/HND,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary/HND,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary/HND,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Bachelor's Degree,Rural,Savelugu Municipal,Male,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Bachelor's Degree,Rural,Savelugu Municipal,Female,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Bachelor's Degree,Urban,Savelugu Municipal,Male,0,0,0,0,6,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Bachelor's Degree,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Post graduate Certificate/Diploma,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Post graduate Certificate/Diploma,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Post graduate Certificate/Diploma,Urban,Savelugu Municipal,Male,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Post graduate Certificate/Diploma,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Master's Degree,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Master's Degree,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Master's Degree,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - Master's Degree,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - PhD,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - PhD,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - PhD,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Tertiary - PhD,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Other (specify),Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Other (specify),Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Other (specify),Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Ghana,Other (specify),Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Never attended,Rural,Savelugu Municipal,Male,59,24,18,17,142,13,23,21,16,15,21,11,9,8,5,15,5,2,4,0,4,0,0,0
ECOWAS Countries,Never attended,Rural,Savelugu Municipal,Female,61,24,26,11,185,18,45,41,24,16,14,8,8,5,6,24,3,6,6,5,2,2,0,0
ECOWAS Countries,Never attended,Urban,Savelugu Municipal,Male,4,2,1,1,17,4,4,3,2,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0
ECOWAS Countries,Never attended,Urban,Savelugu Municipal,Female,6,3,2,1,12,1,4,1,1,1,2,0,0,1,1,1,0,0,0,1,0,0,0,0
ECOWAS Countries,Nursery,Rural,Savelugu Municipal,Male,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Nursery,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Nursery,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Nursery,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Kindergarten,Rural,Savelugu Municipal,Male,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Kindergarten,Rural,Savelugu Municipal,Female,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Kindergarten,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Kindergarten,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Primary,Rural,Savelugu Municipal,Male,7,0,3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Primary,Rural,Savelugu Municipal,Female,3,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Primary,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Primary,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,JSS/JHS,Rural,Savelugu Municipal,Male,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,JSS/JHS,Rural,Savelugu Municipal,Female,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,JSS/JHS,Urban,Savelugu Municipal,Male,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,JSS/JHS,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Middle,Rural,Savelugu Municipal,Male,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Middle,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Middle,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Middle,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,SSS/SHS,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,SSS/SHS,Rural,Savelugu Municipal,Female,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,SSS/SHS,Urban,Savelugu Municipal,Male,0,0,0,0,11,0,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,SSS/SHS,Urban,Savelugu Municipal,Female,0,0,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Secondary,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Secondary,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Secondary,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Secondary,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Voc/technical/commercial,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Voc/technical/commercial,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Voc/technical/commercial,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Voc/technical/commercial,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Post middle/secondary Certificate,Rural,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Post middle/secondary Certificate,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Post middle/secondary Certificate,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Post middle/secondary Certificate,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Post middle/secondary Diploma,Rural,Savelugu Municipal,Male,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Post middle/secondary Diploma,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Post middle/secondary Diploma,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Post middle/secondary Diploma,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Tertiary/HND,Rural,Savelugu Municipal,Male,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Tertiary/HND,Rural,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Tertiary/HND,Urban,Savelugu Municipal,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOWAS Countries,Tertiary/HND,Urban,Savelugu Municipal,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
