Age,Locality,Education,Male,Female
15-19,Rural,Primary,163,121
15-19,Rural,JSS/JHS,989,617
15-19,Rural,Middle,0,0
15-19,Rural,SSS/SHS,351,232
15-19,Rural,Secondary,4,1
15-19,Rural,Voc/technical/commercial,0,1
15-19,Rural,Post middle/secondary Certificate,0,2
15-19,Rural,Post middle/secondary Diploma,1,0
15-19,Rural,Tertiary/HND,1,16
15-19,Rural,Tertiary - Bachelor's Degree,47,22
15-19,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
15-19,Rural,Tertiary - Master's Degree,0,0
15-19,Rural,Tertiary - PhD,0,0
15-19,Rural,Other (specify),0,0
15-19,Urban,Never attended,557,629
15-19,Urban,Nursery,0,2
15-19,Urban,Kindergarten,0,1
15-19,Urban,Primary,233,184
15-19,Urban,JSS/JHS,1893,1586
15-19,Urban,Middle,0,0
15-19,Urban,SSS/SHS,1452,1268
15-19,Urban,Secondary,3,3
15-19,Urban,Voc/technical/commercial,3,0
15-19,Urban,Post middle/secondary Certificate,1,4
15-19,Urban,Post middle/secondary Diploma,0,16
15-19,Urban,Tertiary/HND,17,29
15-19,Urban,Tertiary - Bachelor's Degree,72,7
15-19,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
15-19,Urban,Tertiary - Master's Degree,0,0
15-19,Urban,Tertiary - PhD,0,0
15-19,Urban,Other (specify),0,0
15,Rural,Never attended,152,143
15,Rural,Nursery,0,0
15,Rural,Kindergarten,0,0
15,Rural,Primary,29,24
15,Rural,JSS/JHS,354,206
15,Rural,Middle,0,0
15,Rural,SSS/SHS,26,30
15,Rural,Secondary,0,0
15,Rural,Voc/technical/commercial,0,0
15,Rural,Post middle/secondary Certificate,0,0
15,Rural,Post middle/secondary Diploma,0,0
15,Rural,Tertiary/HND,0,0
15,Rural,Tertiary - Bachelor's Degree,0,0
15,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
15,Rural,Tertiary - Master's Degree,0,0
15,Rural,Tertiary - PhD,0,0
15,Rural,Other (specify),0,0
15,Urban,Never attended,128,115
15,Urban,Nursery,0,0
15,Urban,Kindergarten,0,0
15,Urban,Primary,40,30
15,Urban,JSS/JHS,647,524
15,Urban,Middle,0,0
15,Urban,SSS/SHS,97,77
15,Urban,Secondary,0,0
15,Urban,Voc/technical/commercial,0,0
15,Urban,Post middle/secondary Certificate,0,0
15,Urban,Post middle/secondary Diploma,0,0
15,Urban,Tertiary/HND,0,0
15,Urban,Tertiary - Bachelor's Degree,0,0
15,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
15,Urban,Tertiary - Master's Degree,0,0
15,Urban,Tertiary - PhD,0,0
15,Urban,Other (specify),0,0
16,Rural,Never attended,122,124
16,Rural,Nursery,0,0
16,Rural,Kindergarten,0,0
16,Rural,Primary,32,33
16,Rural,JSS/JHS,248,148
16,Rural,Middle,0,0
16,Rural,SSS/SHS,48,44
16,Rural,Secondary,0,0
16,Rural,Voc/technical/commercial,0,0
16,Rural,Post middle/secondary Certificate,0,0
16,Rural,Post middle/secondary Diploma,0,0
16,Rural,Tertiary/HND,0,0
16,Rural,Tertiary - Bachelor's Degree,0,0
16,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
16,Rural,Tertiary - Master's Degree,0,0
16,Rural,Tertiary - PhD,0,0
16,Rural,Other (specify),0,0
16,Urban,Never attended,95,108
16,Urban,Nursery,0,1
16,Urban,Kindergarten,0,0
16,Urban,Primary,50,32
16,Urban,JSS/JHS,476,419
16,Urban,Middle,0,0
16,Urban,SSS/SHS,171,145
16,Urban,Secondary,0,0
16,Urban,Voc/technical/commercial,0,0
16,Urban,Post middle/secondary Certificate,0,0
16,Urban,Post middle/secondary Diploma,0,0
16,Urban,Tertiary/HND,1,0
16,Urban,Tertiary - Bachelor's Degree,0,0
16,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
16,Urban,Tertiary - Master's Degree,0,0
16,Urban,Tertiary - PhD,0,0
16,Urban,Other (specify),0,0
17,Rural,Never attended,106,137
17,Rural,Nursery,0,0
17,Rural,Kindergarten,0,1
17,Rural,Primary,30,13
17,Rural,JSS/JHS,173,95
17,Rural,Middle,0,0
17,Rural,SSS/SHS,70,34
17,Rural,Secondary,1,0
17,Rural,Voc/technical/commercial,0,0
17,Rural,Post middle/secondary Certificate,0,0
17,Rural,Post middle/secondary Diploma,1,0
17,Rural,Tertiary/HND,0,0
17,Rural,Tertiary - Bachelor's Degree,0,0
17,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
17,Rural,Tertiary - Master's Degree,0,0
17,Rural,Tertiary - PhD,0,0
17,Rural,Other (specify),0,0
17,Urban,Never attended,108,111
17,Urban,Nursery,0,0
17,Urban,Kindergarten,0,0
17,Urban,Primary,40,32
17,Urban,JSS/JHS,355,279
17,Urban,Middle,0,0
17,Urban,SSS/SHS,272,288
17,Urban,Secondary,0,0
17,Urban,Voc/technical/commercial,0,0
17,Urban,Post middle/secondary Certificate,0,0
17,Urban,Post middle/secondary Diploma,0,0
17,Urban,Tertiary/HND,1,0
17,Urban,Tertiary - Bachelor's Degree,1,0
17,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
17,Urban,Tertiary - Master's Degree,0,0
17,Urban,Tertiary - PhD,0,0
17,Urban,Other (specify),0,0
18,Rural,Never attended,117,159
18,Rural,Nursery,0,0
18,Rural,Kindergarten,0,0
18,Rural,Primary,33,23
18,Rural,JSS/JHS,110,84
18,Rural,Middle,0,0
18,Rural,SSS/SHS,74,55
18,Rural,Secondary,0,0
18,Rural,Voc/technical/commercial,0,1
18,Rural,Post middle/secondary Certificate,0,0
18,Rural,Post middle/secondary Diploma,0,0
18,Rural,Tertiary/HND,1,16
18,Rural,Tertiary - Bachelor's Degree,27,0
18,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
18,Rural,Tertiary - Master's Degree,0,0
18,Rural,Tertiary - PhD,0,0
18,Rural,Other (specify),0,0
18,Urban,Never attended,119,123
18,Urban,Nursery,0,1
18,Urban,Kindergarten,0,0
18,Urban,Primary,52,39
18,Urban,JSS/JHS,244,207
18,Urban,Middle,0,0
18,Urban,SSS/SHS,414,365
18,Urban,Secondary,3,1
18,Urban,Voc/technical/commercial,2,0
18,Urban,Post middle/secondary Certificate,0,0
18,Urban,Post middle/secondary Diploma,0,0
18,Urban,Tertiary/HND,0,29
18,Urban,Tertiary - Bachelor's Degree,44,0
18,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
18,Urban,Tertiary - Master's Degree,0,0
18,Urban,Tertiary - PhD,0,0
18,Urban,Other (specify),0,0
19,Rural,Never attended,124,194
19,Rural,Nursery,0,1
19,Rural,Kindergarten,0,0
19,Rural,Primary,39,28
19,Rural,JSS/JHS,104,84
19,Rural,Middle,0,0
19,Rural,SSS/SHS,133,69
19,Rural,Secondary,3,1
19,Rural,Voc/technical/commercial,0,0
19,Rural,Post middle/secondary Certificate,0,2
19,Rural,Post middle/secondary Diploma,0,0
19,Rural,Tertiary/HND,0,0
19,Rural,Tertiary - Bachelor's Degree,20,22
19,Rural,Tertiary - Post graduate Certificate/Diploma,0,0
19,Rural,Tertiary - Master's Degree,0,0
19,Rural,Tertiary - PhD,0,0
19,Rural,Other (specify),0,0
19,Urban,Never attended,107,172
19,Urban,Nursery,0,0
19,Urban,Kindergarten,0,1
19,Urban,Primary,51,51
19,Urban,JSS/JHS,171,157
19,Urban,Middle,0,0
19,Urban,SSS/SHS,498,393
19,Urban,Secondary,0,2
19,Urban,Voc/technical/commercial,1,0
19,Urban,Post middle/secondary Certificate,1,4
19,Urban,Post middle/secondary Diploma,0,16
19,Urban,Tertiary/HND,15,0
19,Urban,Tertiary - Bachelor's Degree,27,7
19,Urban,Tertiary - Post graduate Certificate/Diploma,0,0
19,Urban,Tertiary - Master's Degree,0,0
19,Urban,Tertiary - PhD,0,0
19,Urban,Other (specify),0,0
20-24,Rural,Never attended,784,1438
20-24,Rural,Nursery,1,0
20-24,Rural,Kindergarten,0,1
20-24,Rural,Primary,134,153
20-24,Rural,JSS/JHS,263,200
20-24,Rural,Middle,0,0
20-24,Rural,SSS/SHS,499,282
20-24,Rural,Secondary,3,3
20-24,Rural,Voc/technical/commercial,7,2
20-24,Rural,Post middle/secondary Certificate,0,0
20-24,Rural,Post middle/secondary Diploma,13,4
20-24,Rural,Tertiary/HND,96,37
20-24,Rural,Tertiary - Bachelor's Degree,36,6
20-24,Rural,Tertiary - Post graduate Certificate/Diploma,26,3
20-24,Rural,Tertiary - Master's Degree,0,0
20-24,Rural,Tertiary - PhD,0,0
20-24,Rural,Other (specify),0,0
20-24,Urban,Never attended,709,1505
20-24,Urban,Nursery,0,0
20-24,Urban,Kindergarten,2,2
20-24,Urban,Primary,195,192
20-24,Urban,JSS/JHS,440,446
20-24,Urban,Middle,0,0
20-24,Urban,SSS/SHS,1958,1464
20-24,Urban,Secondary,15,15
20-24,Urban,Voc/technical/commercial,4,4
20-24,Urban,Post middle/secondary Certificate,13,6
20-24,Urban,Post middle/secondary Diploma,27,35
20-24,Urban,Tertiary/HND,204,124
20-24,Urban,Tertiary - Bachelor's Degree,68,39
20-24,Urban,Tertiary - Post graduate Certificate/Diploma,293,103
20-24,Urban,Tertiary - Master's Degree,4,0
20-24,Urban,Tertiary - PhD,0,1
20-24,Urban,Other (specify),3,0
20,Rural,Never attended,186,333
20,Rural,Nursery,0,0
20,Rural,Kindergarten,0,1
20,Rural,Primary,47,34
20,Rural,JSS/JHS,103,65
20,Rural,Middle,0,0
20,Rural,SSS/SHS,138,91
20,Rural,Secondary,0,0
20,Rural,Voc/technical/commercial,2,0
20,Rural,Post middle/secondary Certificate,0,0
20,Rural,Post middle/secondary Diploma,0,0
20,Rural,Tertiary/HND,7,0
20,Rural,Tertiary - Bachelor's Degree,5,4
20,Rural,Tertiary - Post graduate Certificate/Diploma,13,1
20,Rural,Tertiary - Master's Degree,0,0
20,Rural,Tertiary - PhD,0,0
20,Rural,Other (specify),0,0
20,Urban,Never attended,182,329
20,Urban,Nursery,0,0
20,Urban,Kindergarten,0,1
20,Urban,Primary,66,40
20,Urban,JSS/JHS,148,162
20,Urban,Middle,0,0
20,Urban,SSS/SHS,659,472
20,Urban,Secondary,4,4
20,Urban,Voc/technical/commercial,0,0
20,Urban,Post middle/secondary Certificate,3,0
20,Urban,Post middle/secondary Diploma,3,9
20,Urban,Tertiary/HND,15,15
20,Urban,Tertiary - Bachelor's Degree,5,7
20,Urban,Tertiary - Post graduate Certificate/Diploma,46,14
20,Urban,Tertiary - Master's Degree,0,0
20,Urban,Tertiary - PhD,0,0
20,Urban,Other (specify),0,0
21,Rural,Never attended,240,408
21,Rural,Nursery,1,0
21,Rural,Kindergarten,0,0
21,Rural,Primary,33,53
21,Rural,JSS/JHS,53,44
21,Rural,Middle,0,0
21,Rural,SSS/SHS,114,67
21,Rural,Secondary,1,2
21,Rural,Voc/technical/commercial,3,0
21,Rural,Post middle/secondary Certificate,0,0
21,Rural,Post middle/secondary Diploma,0,0
21,Rural,Tertiary/HND,45,18
21,Rural,Tertiary - Bachelor's Degree,4,0
21,Rural,Tertiary - Post graduate Certificate/Diploma,3,1
21,Rural,Tertiary - Master's Degree,0,0
21,Rural,Tertiary - PhD,0,0
21,Rural,Other (specify),0,0
21,Urban,Never attended,184,387
21,Urban,Nursery,0,0
21,Urban,Kindergarten,0,1
21,Urban,Primary,57,54
21,Urban,JSS/JHS,88,81
21,Urban,Middle,0,0
21,Urban,SSS/SHS,628,514
21,Urban,Secondary,5,6
21,Urban,Voc/technical/commercial,1,1
21,Urban,Post middle/secondary Certificate,4,2
21,Urban,Post middle/secondary Diploma,5,3
21,Urban,Tertiary/HND,92,50
21,Urban,Tertiary - Bachelor's Degree,10,6
21,Urban,Tertiary - Post graduate Certificate/Diploma,45,20
21,Urban,Tertiary - Master's Degree,0,0
21,Urban,Tertiary - PhD,0,0
21,Urban,Other (specify),0,0
22,Rural,Never attended,134,231
22,Rural,Nursery,0,0
22,Rural,Kindergarten,0,0
22,Rural,Primary,19,22
22,Rural,JSS/JHS,35,19
22,Rural,Middle,0,0
22,Rural,SSS/SHS,102,53
22,Rural,Secondary,0,0
22,Rural,Voc/technical/commercial,2,1
22,Rural,Post middle/secondary Certificate,0,0
22,Rural,Post middle/secondary Diploma,2,1
22,Rural,Tertiary/HND,23,10
22,Rural,Tertiary - Bachelor's Degree,13,0
22,Rural,Tertiary - Post graduate Certificate/Diploma,1,0
22,Rural,Tertiary - Master's Degree,0,0
22,Rural,Tertiary - PhD,0,0
22,Rural,Other (specify),0,0
22,Urban,Never attended,129,284
22,Urban,Nursery,0,0
22,Urban,Kindergarten,0,0
22,Urban,Primary,29,36
22,Urban,JSS/JHS,80,84
22,Urban,Middle,0,0
22,Urban,SSS/SHS,308,202
22,Urban,Secondary,2,5
22,Urban,Voc/technical/commercial,1,1
22,Urban,Post middle/secondary Certificate,1,0
22,Urban,Post middle/secondary Diploma,6,7
22,Urban,Tertiary/HND,53,25
22,Urban,Tertiary - Bachelor's Degree,9,3
22,Urban,Tertiary - Post graduate Certificate/Diploma,57,21
22,Urban,Tertiary - Master's Degree,0,0
22,Urban,Tertiary - PhD,0,1
22,Urban,Other (specify),2,0
23,Rural,Never attended,121,270
23,Rural,Nursery,0,0
23,Rural,Kindergarten,0,0
23,Rural,Primary,17,26
23,Rural,JSS/JHS,35,31
23,Rural,Middle,0,0
23,Rural,SSS/SHS,78,33
23,Rural,Secondary,1,1
23,Rural,Voc/technical/commercial,0,1
23,Rural,Post middle/secondary Certificate,0,0
23,Rural,Post middle/secondary Diploma,9,2
23,Rural,Tertiary/HND,13,6
23,Rural,Tertiary - Bachelor's Degree,0,2
23,Rural,Tertiary - Post graduate Certificate/Diploma,6,1
23,Rural,Tertiary - Master's Degree,0,0
23,Rural,Tertiary - PhD,0,0
23,Rural,Other (specify),0,0
23,Urban,Never attended,115,266
23,Urban,Nursery,0,0
23,Urban,Kindergarten,0,0
23,Urban,Primary,23,33
23,Urban,JSS/JHS,58,56
23,Urban,Middle,0,0
23,Urban,SSS/SHS,220,160
23,Urban,Secondary,3,0
23,Urban,Voc/technical/commercial,2,1
23,Urban,Post middle/secondary Certificate,2,2
23,Urban,Post middle/secondary Diploma,9,8
23,Urban,Tertiary/HND,36,15
23,Urban,Tertiary - Bachelor's Degree,15,13
23,Urban,Tertiary - Post graduate Certificate/Diploma,76,19
23,Urban,Tertiary - Master's Degree,0,0
23,Urban,Tertiary - PhD,0,0
23,Urban,Other (specify),0,0
24,Rural,Never attended,103,196
24,Rural,Nursery,0,0
24,Rural,Kindergarten,0,0
24,Rural,Primary,18,18
24,Rural,JSS/JHS,37,41
24,Rural,Middle,0,0
24,Rural,SSS/SHS,67,38
24,Rural,Secondary,1,0
24,Rural,Voc/technical/commercial,0,0
24,Rural,Post middle/secondary Certificate,0,0
24,Rural,Post middle/secondary Diploma,2,1
24,Rural,Tertiary/HND,8,3
24,Rural,Tertiary - Bachelor's Degree,14,0
24,Rural,Tertiary - Post graduate Certificate/Diploma,3,0
24,Rural,Tertiary - Master's Degree,0,0
24,Rural,Tertiary - PhD,0,0
24,Rural,Other (specify),0,0
24,Urban,Never attended,99,239
24,Urban,Nursery,0,0
24,Urban,Kindergarten,2,0
24,Urban,Primary,20,29
24,Urban,JSS/JHS,66,63
24,Urban,Middle,0,0
24,Urban,SSS/SHS,143,116
24,Urban,Secondary,1,0
24,Urban,Voc/technical/commercial,0,1
24,Urban,Post middle/secondary Certificate,3,2
24,Urban,Post middle/secondary Diploma,4,8
24,Urban,Tertiary/HND,8,19
24,Urban,Tertiary - Bachelor's Degree,29,10
24,Urban,Tertiary - Post graduate Certificate/Diploma,69,29
24,Urban,Tertiary - Master's Degree,4,0
24,Urban,Tertiary - PhD,0,0
24,Urban,Other (specify),1,0
25-29,Rural,Never attended,803,1428
25-29,Rural,Nursery,0,1
25-29,Rural,Kindergarten,0,1
25-29,Rural,Primary,114,87
25-29,Rural,JSS/JHS,166,137
25-29,Rural,Middle,0,0
25-29,Rural,SSS/SHS,301,118
25-29,Rural,Secondary,4,4
25-29,Rural,Voc/technical/commercial,14,4
25-29,Rural,Post middle/secondary Certificate,1,0
25-29,Rural,Post middle/secondary Diploma,12,5
25-29,Rural,Tertiary/HND,40,17
25-29,Rural,Tertiary - Bachelor's Degree,28,8
25-29,Rural,Tertiary - Post graduate Certificate/Diploma,33,4
25-29,Rural,Tertiary - Master's Degree,1,0
25-29,Rural,Tertiary - PhD,4,0
25-29,Rural,Other (specify),0,0
25-29,Urban,Never attended,740,1994
25-29,Urban,Nursery,1,0
25-29,Urban,Kindergarten,1,0
25-29,Urban,Primary,127,166
25-29,Urban,JSS/JHS,282,324
25-29,Urban,Middle,0,0
25-29,Urban,SSS/SHS,587,507
25-29,Urban,Secondary,10,9
25-29,Urban,Voc/technical/commercial,68,35
25-29,Urban,Post middle/secondary Certificate,15,8
25-29,Urban,Post middle/secondary Diploma,91,39
25-29,Urban,Tertiary/HND,125,55
25-29,Urban,Tertiary - Bachelor's Degree,146,52
25-29,Urban,Tertiary - Post graduate Certificate/Diploma,246,128
25-29,Urban,Tertiary - Master's Degree,8,1
25-29,Urban,Tertiary - PhD,1,0
25-29,Urban,Other (specify),1,0
25,Rural,Never attended,190,393
25,Rural,Nursery,0,1
25,Rural,Kindergarten,0,1
25,Rural,Primary,37,20
25,Rural,JSS/JHS,42,38
25,Rural,Middle,0,0
25,Rural,SSS/SHS,92,32
25,Rural,Secondary,2,0
25,Rural,Voc/technical/commercial,1,0
25,Rural,Post middle/secondary Certificate,0,0
25,Rural,Post middle/secondary Diploma,4,1
25,Rural,Tertiary/HND,11,6
25,Rural,Tertiary - Bachelor's Degree,9,5
25,Rural,Tertiary - Post graduate Certificate/Diploma,4,3
25,Rural,Tertiary - Master's Degree,0,0
25,Rural,Tertiary - PhD,2,0
25,Rural,Other (specify),0,0
25,Urban,Never attended,159,450
25,Urban,Nursery,0,0
25,Urban,Kindergarten,0,0
25,Urban,Primary,43,55
25,Urban,JSS/JHS,81,77
25,Urban,Middle,0,0
25,Urban,SSS/SHS,178,151
25,Urban,Secondary,1,2
25,Urban,Voc/technical/commercial,4,3
25,Urban,Post middle/secondary Certificate,4,1
25,Urban,Post middle/secondary Diploma,24,7
25,Urban,Tertiary/HND,30,16
25,Urban,Tertiary - Bachelor's Degree,24,4
25,Urban,Tertiary - Post graduate Certificate/Diploma,80,31
25,Urban,Tertiary - Master's Degree,1,0
25,Urban,Tertiary - PhD,0,0
25,Urban,Other (specify),0,0
26,Rural,Never attended,180,344
26,Rural,Nursery,0,0
26,Rural,Kindergarten,0,0
26,Rural,Primary,18,31
26,Rural,JSS/JHS,43,37
26,Rural,Middle,0,0
26,Rural,SSS/SHS,75,31
26,Rural,Secondary,0,1
26,Rural,Voc/technical/commercial,7,2
26,Rural,Post middle/secondary Certificate,1,0
26,Rural,Post middle/secondary Diploma,0,0
26,Rural,Tertiary/HND,13,2
26,Rural,Tertiary - Bachelor's Degree,2,0
26,Rural,Tertiary - Post graduate Certificate/Diploma,8,0
26,Rural,Tertiary - Master's Degree,0,0
26,Rural,Tertiary - PhD,0,0
26,Rural,Other (specify),0,0
26,Urban,Never attended,184,433
26,Urban,Nursery,0,0
26,Urban,Kindergarten,0,0
26,Urban,Primary,21,37
26,Urban,JSS/JHS,46,70
26,Urban,Middle,0,0
26,Urban,SSS/SHS,101,108
26,Urban,Secondary,5,1
26,Urban,Voc/technical/commercial,28,14
26,Urban,Post middle/secondary Certificate,3,3
26,Urban,Post middle/secondary Diploma,19,5
26,Urban,Tertiary/HND,27,12
26,Urban,Tertiary - Bachelor's Degree,22,9
26,Urban,Tertiary - Post graduate Certificate/Diploma,49,28
26,Urban,Tertiary - Master's Degree,3,0
26,Urban,Tertiary - PhD,1,0
26,Urban,Other (specify),0,0
27,Rural,Never attended,148,207
27,Rural,Nursery,0,0
27,Rural,Kindergarten,0,0
27,Rural,Primary,20,17
27,Rural,JSS/JHS,26,29
27,Rural,Middle,0,0
27,Rural,SSS/SHS,43,20
27,Rural,Secondary,0,1
27,Rural,Voc/technical/commercial,3,0
27,Rural,Post middle/secondary Certificate,0,0
27,Rural,Post middle/secondary Diploma,7,1
27,Rural,Tertiary/HND,7,2
27,Rural,Tertiary - Bachelor's Degree,10,0
27,Rural,Tertiary - Post graduate Certificate/Diploma,6,0
27,Rural,Tertiary - Master's Degree,1,0
27,Rural,Tertiary - PhD,0,0
27,Rural,Other (specify),0,0
27,Urban,Never attended,118,350
27,Urban,Nursery,0,0
27,Urban,Kindergarten,1,0
27,Urban,Primary,18,26
27,Urban,JSS/JHS,41,68
27,Urban,Middle,0,0
27,Urban,SSS/SHS,118,92
27,Urban,Secondary,0,2
27,Urban,Voc/technical/commercial,12,3
27,Urban,Post middle/secondary Certificate,4,0
27,Urban,Post middle/secondary Diploma,11,11
27,Urban,Tertiary/HND,23,11
27,Urban,Tertiary - Bachelor's Degree,33,7
27,Urban,Tertiary - Post graduate Certificate/Diploma,46,29
27,Urban,Tertiary - Master's Degree,1,0
27,Urban,Tertiary - PhD,0,0
27,Urban,Other (specify),1,0
28,Rural,Never attended,133,257
28,Rural,Nursery,0,0
28,Rural,Kindergarten,0,0
28,Rural,Primary,20,13
28,Rural,JSS/JHS,41,14
28,Rural,Middle,0,0
28,Rural,SSS/SHS,57,22
28,Rural,Secondary,1,1
28,Rural,Voc/technical/commercial,2,1
28,Rural,Post middle/secondary Certificate,0,0
28,Rural,Post middle/secondary Diploma,0,3
28,Rural,Tertiary/HND,3,4
28,Rural,Tertiary - Bachelor's Degree,4,1
28,Rural,Tertiary - Post graduate Certificate/Diploma,6,1
28,Rural,Tertiary - Master's Degree,0,0
28,Rural,Tertiary - PhD,2,0
28,Rural,Other (specify),0,0
28,Urban,Never attended,135,386
28,Urban,Nursery,0,0
28,Urban,Kindergarten,0,0
28,Urban,Primary,28,21
28,Urban,JSS/JHS,57,69
28,Urban,Middle,0,0
28,Urban,SSS/SHS,108,74
28,Urban,Secondary,2,2
28,Urban,Voc/technical/commercial,9,8
28,Urban,Post middle/secondary Certificate,2,3
28,Urban,Post middle/secondary Diploma,22,6
28,Urban,Tertiary/HND,30,7
28,Urban,Tertiary - Bachelor's Degree,33,11
28,Urban,Tertiary - Post graduate Certificate/Diploma,43,21
28,Urban,Tertiary - Master's Degree,2,1
28,Urban,Tertiary - PhD,0,0
28,Urban,Other (specify),0,0
29,Rural,Never attended,152,227
29,Rural,Nursery,0,0
29,Rural,Kindergarten,0,0
29,Rural,Primary,19,6
29,Rural,JSS/JHS,14,19
29,Rural,Middle,0,0
29,Rural,SSS/SHS,34,13
29,Rural,Secondary,1,1
29,Rural,Voc/technical/commercial,1,1
29,Rural,Post middle/secondary Certificate,0,0
29,Rural,Post middle/secondary Diploma,1,0
29,Rural,Tertiary/HND,6,3
29,Rural,Tertiary - Bachelor's Degree,3,2
29,Rural,Tertiary - Post graduate Certificate/Diploma,9,0
29,Rural,Tertiary - Master's Degree,0,0
29,Rural,Tertiary - PhD,0,0
29,Rural,Other (specify),0,0
29,Urban,Never attended,144,375
29,Urban,Nursery,1,0
29,Urban,Kindergarten,0,0
29,Urban,Primary,17,27
29,Urban,JSS/JHS,57,40
29,Urban,Middle,0,0
29,Urban,SSS/SHS,82,82
29,Urban,Secondary,2,2
29,Urban,Voc/technical/commercial,15,7
29,Urban,Post middle/secondary Certificate,2,1
29,Urban,Post middle/secondary Diploma,15,10
29,Urban,Tertiary/HND,15,9
29,Urban,Tertiary - Bachelor's Degree,34,21
29,Urban,Tertiary - Post graduate Certificate/Diploma,28,19
29,Urban,Tertiary - Master's Degree,1,0
29,Urban,Tertiary - PhD,0,0
29,Urban,Other (specify),0,0
30-34,Rural,Never attended,923,1535
30-34,Rural,Nursery,3,0
30-34,Rural,Kindergarten,0,0
30-34,Rural,Primary,68,57
30-34,Rural,JSS/JHS,148,76
30-34,Rural,Middle,0,0
30-34,Rural,SSS/SHS,158,33
30-34,Rural,Secondary,2,0
30-34,Rural,Voc/technical/commercial,7,1
30-34,Rural,Post middle/secondary Certificate,1,1
30-34,Rural,Post middle/secondary Diploma,17,0
30-34,Rural,Tertiary/HND,25,6
30-34,Rural,Tertiary - Bachelor's Degree,32,4
30-34,Rural,Tertiary - Post graduate Certificate/Diploma,22,2
30-34,Rural,Tertiary - Master's Degree,3,1
30-34,Rural,Tertiary - PhD,0,0
30-34,Rural,Other (specify),3,0
30-34,Urban,Never attended,1072,2442
30-34,Urban,Nursery,0,0
30-34,Urban,Kindergarten,1,1
30-34,Urban,Primary,137,115
30-34,Urban,JSS/JHS,290,188
30-34,Urban,Middle,0,0
30-34,Urban,SSS/SHS,391,199
30-34,Urban,Secondary,20,10
30-34,Urban,Voc/technical/commercial,18,11
30-34,Urban,Post middle/secondary Certificate,17,17
30-34,Urban,Post middle/secondary Diploma,76,29
30-34,Urban,Tertiary/HND,113,41
30-34,Urban,Tertiary - Bachelor's Degree,217,64
30-34,Urban,Tertiary - Post graduate Certificate/Diploma,126,51
30-34,Urban,Tertiary - Master's Degree,22,2
30-34,Urban,Tertiary - PhD,1,0
30-34,Urban,Other (specify),2,0
30,Rural,Never attended,253,423
30,Rural,Nursery,1,0
30,Rural,Kindergarten,0,0
30,Rural,Primary,25,21
30,Rural,JSS/JHS,46,21
30,Rural,Middle,0,0
30,Rural,SSS/SHS,52,13
30,Rural,Secondary,0,0
30,Rural,Voc/technical/commercial,6,0
30,Rural,Post middle/secondary Certificate,0,0
30,Rural,Post middle/secondary Diploma,5,0
30,Rural,Tertiary/HND,9,1
30,Rural,Tertiary - Bachelor's Degree,11,2
30,Rural,Tertiary - Post graduate Certificate/Diploma,4,1
30,Rural,Tertiary - Master's Degree,1,0
30,Rural,Tertiary - PhD,0,0
30,Rural,Other (specify),3,0
30,Urban,Never attended,309,597
30,Urban,Nursery,0,0
30,Urban,Kindergarten,0,0
30,Urban,Primary,31,41
30,Urban,JSS/JHS,93,57
30,Urban,Middle,0,0
30,Urban,SSS/SHS,128,59
30,Urban,Secondary,4,1
30,Urban,Voc/technical/commercial,9,8
30,Urban,Post middle/secondary Certificate,4,4
30,Urban,Post middle/secondary Diploma,20,8
30,Urban,Tertiary/HND,33,10
30,Urban,Tertiary - Bachelor's Degree,38,18
30,Urban,Tertiary - Post graduate Certificate/Diploma,40,16
30,Urban,Tertiary - Master's Degree,7,0
30,Urban,Tertiary - PhD,0,0
30,Urban,Other (specify),0,0
31,Rural,Never attended,274,438
31,Rural,Nursery,0,0
31,Rural,Kindergarten,0,0
31,Rural,Primary,21,17
31,Rural,JSS/JHS,39,22
31,Rural,Middle,0,0
31,Rural,SSS/SHS,47,8
31,Rural,Secondary,1,0
31,Rural,Voc/technical/commercial,1,0
31,Rural,Post middle/secondary Certificate,0,0
31,Rural,Post middle/secondary Diploma,4,0
31,Rural,Tertiary/HND,11,1
31,Rural,Tertiary - Bachelor's Degree,9,2
31,Rural,Tertiary - Post graduate Certificate/Diploma,6,0
31,Rural,Tertiary - Master's Degree,1,0
31,Rural,Tertiary - PhD,0,0
31,Rural,Other (specify),0,0
31,Urban,Never attended,318,693
31,Urban,Nursery,0,0
31,Urban,Kindergarten,0,0
31,Urban,Primary,40,27
31,Urban,JSS/JHS,88,62
31,Urban,Middle,0,0
31,Urban,SSS/SHS,101,54
31,Urban,Secondary,7,3
31,Urban,Voc/technical/commercial,2,1
31,Urban,Post middle/secondary Certificate,7,7
31,Urban,Post middle/secondary Diploma,21,12
31,Urban,Tertiary/HND,31,11
31,Urban,Tertiary - Bachelor's Degree,54,14
31,Urban,Tertiary - Post graduate Certificate/Diploma,30,12
31,Urban,Tertiary - Master's Degree,2,1
